name,description,is_freelance,hide_salary,hide_company,number_of_positions,is_featured,auto_renew,latitude,longitude,content,apply_url,address,country,state,city,company_name,career_level,salary_from,salary_to,salary_range,skills,categories,types,tags,currency_id,degree_level,job_shift,job_experience,functional_area,start_date,expire_date,application_closing_date,never_expired,employer_colleagues,moderation_status,status
"Senior Software Engineer","Join our dynamic team as a Senior Software Engineer and lead innovative projects.","No","No","No",2,"Yes","No",5.6037,-0.1870,"We are seeking an experienced Senior Software Engineer to design and develop scalable applications. You will work with cutting-edge technologies and mentor junior developers.","","Accra, Ghana","Ghana","Greater Accra","Accra","TechCorp Solutions","Senior Level",8000,12000,"monthly","Java,Spring Boot,Microservices,AWS","Technology","Full Time","software engineer,java,senior","GHS","Bachelor","Day","5+ Years","Software Development","2026-02-01","2026-05-01","2026-04-15","No","",approved,published
"Digital Marketing Manager","Lead our digital marketing initiatives and drive brand growth.","No","No","No",1,"Yes","No",5.6037,-0.1870,"We're looking for a creative Digital Marketing Manager to develop and execute comprehensive marketing strategies across digital channels.","","Accra, Ghana","Ghana","Greater Accra","Accra","BrandMax Agency","Mid Level",5000,7500,"monthly","SEO,SEM,Social Media,Analytics","Marketing","Full Time","marketing,digital,manager","GHS","Bachelor","Day","3 - 5 Years","Marketing","2026-02-01","2026-04-30","2026-04-10","No","",approved,published
"Frontend Developer","Create amazing user experiences with modern web technologies.","Yes","No","No",3,"No","No",5.6037,-0.1870,"Join our frontend team to build responsive and interactive web applications using React, Vue.js, and modern CSS frameworks.","","Accra, Ghana","Ghana","Greater Accra","Accra","WebCraft Studios","Junior Level",3500,5500,"monthly","React,Vue.js,JavaScript,CSS,HTML","Technology","Full Time","frontend,developer,react","GHS","Bachelor","Day","1 - 3 Years","Software Development","2026-02-01","2026-04-15","2026-04-01","No","",approved,published
"Data Analyst","Transform data into actionable business insights.","No","No","No",2,"No","No",5.6037,-0.1870,"We need a skilled Data Analyst to analyze complex datasets and provide strategic recommendations to drive business decisions.","","Accra, Ghana","Ghana","Greater Accra","Accra","DataInsights Ltd","Mid Level",4500,6500,"monthly","Python,SQL,Tableau,Excel","Analytics","Full Time","data,analyst,python","GHS","Bachelor","Day","2 - 4 Years","Data Science","2026-02-01","2026-04-20","2026-04-05","No","",approved,published
"UX/UI Designer","Design intuitive and beautiful user interfaces.","Yes","No","No",1,"Yes","No",5.6037,-0.1870,"Create exceptional user experiences through thoughtful design and user research. Work on mobile and web applications.","","Accra, Ghana","Ghana","Greater Accra","Accra","DesignHub Creative","Mid Level",4000,6000,"monthly","Figma,Adobe XD,Sketch,Prototyping","Design","Full Time","ux,ui,designer","GHS","Bachelor","Day","2 - 4 Years","Design","2026-02-01","2026-04-25","2026-04-08","No","",approved,published
"Project Manager","Lead cross-functional teams to deliver successful projects.","No","No","No",1,"No","No",5.6037,-0.1870,"Manage complex projects from initiation to completion. Coordinate with stakeholders and ensure timely delivery within budget.","","Accra, Ghana","Ghana","Greater Accra","Accra","ProjectPro Consulting","Senior Level",6000,9000,"monthly","Agile,Scrum,PMP,Leadership","Management","Full Time","project manager,agile","GHS","Bachelor","Day","5+ Years","Project Management","2026-02-01","2026-05-10","2026-04-20","No","",approved,published
"Content Writer","Create compelling content that engages and converts.","Yes","No","No",2,"No","No",5.6037,-0.1870,"Write high-quality content for blogs, websites, and marketing materials. Research topics and optimize for SEO.","","Accra, Ghana","Ghana","Greater Accra","Accra","ContentCraft Media","Junior Level",2500,4000,"monthly","Writing,SEO,Research,WordPress","Content","Full Time","content writer,seo","GHS","Bachelor","Day","1 - 3 Years","Content Creation","2026-02-01","2026-04-12","2026-03-28","No","",approved,published
"DevOps Engineer","Build and maintain robust infrastructure and deployment pipelines.","No","No","No",1,"Yes","No",5.6037,-0.1870,"Implement CI/CD pipelines, manage cloud infrastructure, and ensure system reliability and scalability.","","Accra, Ghana","Ghana","Greater Accra","Accra","CloudTech Solutions","Senior Level",7000,10000,"monthly","Docker,Kubernetes,AWS,Jenkins","Technology","Full Time","devops,aws,kubernetes","GHS","Bachelor","Day","3 - 5 Years","DevOps","2026-02-01","2026-05-05","2026-04-18","No","",approved,published
"Sales Representative","Drive revenue growth through strategic sales initiatives.","No","No","No",3,"No","No",5.6037,-0.1870,"Generate leads, build relationships with clients, and close deals. Meet and exceed sales targets consistently.","","Accra, Ghana","Ghana","Greater Accra","Accra","SalesForce Ghana","Mid Level",3000,5000,"monthly","Sales,CRM,Negotiation,Communication","Sales","Full Time","sales,representative","GHS","Bachelor","Day","2 - 4 Years","Sales","2026-02-01","2026-04-08","2026-03-25","No","",approved,published
"Mobile App Developer","Build innovative mobile applications for iOS and Android.","Yes","No","No",2,"Yes","No",5.6037,-0.1870,"Develop native and cross-platform mobile applications using Flutter, React Native, or native technologies.","","Accra, Ghana","Ghana","Greater Accra","Accra","MobileFirst Apps","Mid Level",5500,8000,"monthly","Flutter,React Native,iOS,Android","Technology","Full Time","mobile,developer,flutter","GHS","Bachelor","Day","3 - 5 Years","Mobile Development","2026-02-01","2026-04-22","2026-04-07","No","",approved,published
"HR Specialist","Support talent acquisition and employee development initiatives.","No","No","No",1,"No","No",5.6037,-0.1870,"Manage recruitment processes, employee onboarding, and HR policies. Support organizational development.","","Accra, Ghana","Ghana","Greater Accra","Accra","PeopleFirst HR","Mid Level",3500,5500,"monthly","Recruitment,HRIS,Employee Relations","Human Resources","Full Time","hr,recruitment","GHS","Bachelor","Day","2 - 4 Years","Human Resources","2026-02-01","2026-04-18","2026-04-03","No","",approved,published
"Graphic Designer","Create visually stunning designs for print and digital media.","Yes","No","No",2,"No","No",5.6037,-0.1870,"Design marketing materials, logos, and digital assets. Work with clients to bring creative visions to life.","","Accra, Ghana","Ghana","Greater Accra","Accra","Visual Impact Design","Junior Level",2800,4500,"monthly","Photoshop,Illustrator,InDesign,Branding","Design","Full Time","graphic designer,photoshop","GHS","Bachelor","Day","1 - 3 Years","Graphic Design","2026-02-01","2026-04-14","2026-03-30","No","",approved,published
