name,description,is_freelance,hide_salary,hide_company,number_of_positions,is_featured,auto_renew,latitude,longitude,content,apply_url,address,country,state,city,company_name,career_level,salary_from,salary_to,salary_range,skills,categories,types,tags,currency_id,degree_level,job_shift,job_experience,functional_area,start_date,expire_date,application_closing_date,never_expired,employer_colleagues,moderation_status,status
"Web Developer","We are looking for a skilled Web Developer to join our team.","No","No","No",2,"Yes","Yes",5.6037,-0.1870,"Responsible for building and maintaining web applications.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2500,4500,"monthly","HTML,CSS,JavaScript,PHP,MySQL","Technology","Full Time","web developer ghana","GHS","Bachelor","Day","2 - 4 Years","Software Development","2026-02-01","2026-04-01","2026-03-15","No","12","approved","published"
"Backend Developer","We are hiring a Backend Developer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Develop server side logic and APIs.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",3000,5000,"monthly","PHP,Laravel,API,MySQL","Technology","Full Time","backend developer ghana","GHS","Bachelor","Day","3 - 5 Years","Software Development","2026-02-01","2026-04-01","2026-03-15","No","10","approved","published"
"Frontend Developer","We are seeking a Frontend Developer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Implement user interfaces and responsive designs.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2200,4000,"monthly","HTML,CSS,JavaScript,React","Technology","Full Time","frontend developer ghana","GHS","Bachelor","Day","2 - 4 Years","Software Development","2026-02-01","2026-04-01","2026-03-15","No","9","approved","published"
"UI UX Designer","We are hiring a UI UX Designer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Design intuitive user experiences and interfaces.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2000,3800,"monthly","UI,UX,Figma,Design","Design","Full Time","ui ux ghana","GHS","Bachelor","Day","2 - 4 Years","Design and Creative","2026-02-01","2026-04-01","2026-03-15","No","8","approved","published"
"Graphic Designer","We are hiring a Graphic Designer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Create visual designs for digital and print.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1800,3000,"monthly","Photoshop,Illustrator,Branding","Design","Full Time","graphic design ghana","GHS","Bachelor","Day","1 - 3 Years","Design and Creative","2026-02-01","2026-04-01","2026-03-15","No","7","approved","published"
"Digital Marketer","We are seeking a Digital Marketer.","No","No","No",2,"No","Yes",5.6037,-0.1870,"Manage online marketing campaigns.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2000,4000,"monthly","SEO,Social Media,Analytics","Marketing","Full Time","digital marketing ghana","GHS","Bachelor","Day","2 - 5 Years","Marketing","2026-02-01","2026-04-01","2026-03-15","No","10","approved","published"
"Content Writer","We are hiring a Content Writer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Write articles and marketing content.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1500,2500,"monthly","Writing,SEO,Research","Marketing","Full Time","content writer ghana","GHS","Bachelor","Day","1 - 3 Years","Content Creation","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"Social Media Manager","We are hiring a Social Media Manager.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Manage brand presence on social platforms.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",1800,3200,"monthly","Social Media,Strategy,Analytics","Marketing","Full Time","social media ghana","GHS","Bachelor","Day","2 - 4 Years","Marketing","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"Office Administrator","We are looking for an Office Administrator.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Handle daily office operations.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Entry Level",1500,2500,"monthly","Administration,Communication","Administration","Full Time","office admin ghana","GHS","Bachelor","Day","1 - 3 Years","Administration","2026-02-01","2026-04-01","2026-03-15","No","5","approved","published"
"HR Officer","We are hiring an HR Officer.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Manage recruitment and staff relations.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2200,3800,"monthly","HR,Recruitment,Communication","Human Resources","Full Time","hr officer ghana","GHS","Bachelor","Day","2 - 4 Years","Human Resources","2026-02-01","2026-04-01","2026-03-15","No","6","approved","published"
"Accountant","We are seeking an Accountant.","No","No","No",1,"No","Yes",5.6037,-0.1870,"Manage financial records and reports.","https://example.com/apply","Accra Ghana","Ghana","Greater Accra","Accra","JobBox Africa","Mid Level",2500,4200,"monthly","Accounting,Finance,Excel","Finance","Full Time","accountant ghana","GHS","Bachelor","Day","3 - 5 Years","Finance","2026-02-01","2026-04-01","2026-03-15","No","7","approved","published"
