name,description,content,company_id,address,country_id,state_id,city_id,is_freelance,career_level_id,salary_from,salary_to,salary_range,degree_level_id,job_shift_id,job_experience_id,functional_area_id,hide_salary,number_of_positions,expire_date,status,moderation_status,is_featured,categories,skills,job_types,tags
"Senior Software Engineer","Join our dynamic team as a Senior Software Engineer and help build cutting-edge applications that serve millions of users worldwide.","<h5>Responsibilities</h5><ul><li>Design and develop scalable web applications</li><li>Lead technical architecture decisions</li><li>Mentor junior developers</li><li>Collaborate with cross-functional teams</li><li>Ensure code quality and best practices</li></ul><h5>Requirements</h5><ul><li>5+ years of software development experience</li><li>Strong knowledge of JavaScript, Python, or Java</li><li>Experience with cloud platforms (AWS, Azure, GCP)</li><li>Bachelor's degree in Computer Science or related field</li></ul>",1,"123 Tech Street, Silicon Valley, CA",1,1,1,0,4,8000,12000,"monthly",8,1,4,20,0,2,"2026-06-30","published","approved",1,"Software Development,Technology","JavaScript,Python,AWS,React","Full Time","Senior,Remote,Tech"
"Digital Marketing Manager","Lead our digital marketing initiatives and drive brand awareness across multiple channels.","<h5>Key Responsibilities</h5><ul><li>Develop and execute digital marketing strategies</li><li>Manage social media campaigns</li><li>Analyze marketing metrics and ROI</li><li>Coordinate with creative teams</li><li>Optimize SEO and SEM campaigns</li></ul><h5>Qualifications</h5><ul><li>3+ years in digital marketing</li><li>Experience with Google Analytics, AdWords</li><li>Strong analytical and creative skills</li><li>Bachelor's degree in Marketing or related field</li></ul>",2,"456 Business Ave, New York, NY",1,2,2,0,3,5500,8500,"monthly",7,1,3,15,0,1,"2026-07-15","published","approved",1,"Marketing,Digital Marketing","SEO,Google Analytics,Social Media,Content Marketing","Full Time","Marketing,Remote"
"UX/UI Designer","Create intuitive and beautiful user experiences for our mobile and web applications.","<h5>What You'll Do</h5><ul><li>Design user interfaces for web and mobile apps</li><li>Conduct user research and usability testing</li><li>Create wireframes, prototypes, and mockups</li><li>Collaborate with developers and product managers</li><li>Maintain design systems and style guides</li></ul><h5>Requirements</h5><ul><li>3+ years of UX/UI design experience</li><li>Proficiency in Figma, Sketch, Adobe Creative Suite</li><li>Strong portfolio demonstrating design skills</li><li>Understanding of front-end development principles</li></ul>",3,"789 Design Plaza, Austin, TX",1,3,3,0,3,6000,9000,"monthly",7,1,3,25,0,1,"2026-08-01","published","approved",1,"Design,User Experience","Figma,Sketch,Prototyping,User Research","Full Time","Design,Creative"
"Data Scientist","Analyze complex datasets to drive business insights and build predictive models.","<h5>Responsibilities</h5><ul><li>Develop machine learning models and algorithms</li><li>Analyze large datasets to identify trends and patterns</li><li>Create data visualizations and reports</li><li>Collaborate with business stakeholders</li><li>Implement data pipelines and ETL processes</li></ul><h5>Qualifications</h5><ul><li>Master's degree in Data Science, Statistics, or related field</li><li>3+ years of experience in data analysis</li><li>Proficiency in Python, R, SQL</li><li>Experience with machine learning frameworks</li></ul>",4,"321 Data Drive, Seattle, WA",1,4,4,0,4,9000,13000,"monthly",9,1,3,30,0,1,"2026-07-30","published","approved",1,"Data Science,Analytics","Python,Machine Learning,SQL,Statistics","Full Time","Data,Analytics,Remote"
"Product Manager","Drive product strategy and roadmap for our flagship SaaS platform.","<h5>Key Responsibilities</h5><ul><li>Define product vision and strategy</li><li>Manage product roadmap and backlog</li><li>Coordinate with engineering and design teams</li><li>Conduct market research and competitive analysis</li><li>Gather and prioritize customer feedback</li></ul><h5>Requirements</h5><ul><li>5+ years of product management experience</li><li>Experience with SaaS products</li><li>Strong analytical and communication skills</li><li>MBA or equivalent experience preferred</li></ul>",5,"654 Product Way, San Francisco, CA",1,1,1,0,4,10000,15000,"monthly",9,1,4,35,0,1,"2026-08-15","published","approved",1,"Product Management,Strategy","Product Strategy,Agile,Analytics,Leadership","Full Time","Product,Management,Senior"
"DevOps Engineer","Build and maintain our cloud infrastructure and deployment pipelines.","<h5>What You'll Do</h5><ul><li>Design and implement CI/CD pipelines</li><li>Manage cloud infrastructure on AWS/Azure</li><li>Monitor system performance and reliability</li><li>Automate deployment and scaling processes</li><li>Ensure security and compliance standards</li></ul><h5>Requirements</h5><ul><li>3+ years of DevOps experience</li><li>Experience with Docker, Kubernetes</li><li>Knowledge of Infrastructure as Code (Terraform)</li><li>Strong scripting skills (Bash, Python)</li></ul>",6,"987 Cloud Street, Denver, CO",1,5,5,0,3,7500,11000,"monthly",8,1,3,20,0,2,"2026-09-01","published","approved",0,"Technology,DevOps","AWS,Docker,Kubernetes,Terraform","Full Time","DevOps,Cloud,Infrastructure"
"Content Writer","Create engaging content for our blog, website, and marketing materials.","<h5>Responsibilities</h5><ul><li>Write blog posts, articles, and web copy</li><li>Develop content strategies and editorial calendars</li><li>Optimize content for SEO</li><li>Collaborate with marketing and design teams</li><li>Research industry trends and topics</li></ul><h5>Qualifications</h5><ul><li>2+ years of content writing experience</li><li>Excellent writing and editing skills</li><li>Knowledge of SEO best practices</li><li>Bachelor's degree in English, Journalism, or related field</li></ul>",7,"147 Content Lane, Portland, OR",1,6,6,0,2,4000,6500,"monthly",7,1,2,40,0,1,"2026-08-20","published","approved",0,"Content,Marketing","Content Writing,SEO,Copywriting,Research","Full Time","Writing,Content,Marketing"
"Sales Representative","Drive revenue growth by building relationships with potential clients.","<h5>Key Responsibilities</h5><ul><li>Generate leads and build sales pipeline</li><li>Conduct product demonstrations and presentations</li><li>Negotiate contracts and close deals</li><li>Maintain relationships with existing clients</li><li>Meet and exceed sales targets</li></ul><h5>Requirements</h5><ul><li>2+ years of B2B sales experience</li><li>Strong communication and negotiation skills</li><li>Experience with CRM systems</li><li>Bachelor's degree preferred</li></ul>",8,"258 Sales Boulevard, Chicago, IL",1,7,7,0,2,5000,8000,"monthly",7,2,2,45,0,3,"2026-09-10","published","approved",0,"Sales,Business Development","Sales,CRM,Negotiation,Lead Generation","Full Time","Sales,Business"
"Customer Success Manager","Ensure customer satisfaction and drive product adoption and retention.","<h5>What You'll Do</h5><ul><li>Onboard new customers and ensure successful implementation</li><li>Build strong relationships with key accounts</li><li>Identify upselling and expansion opportunities</li><li>Resolve customer issues and concerns</li><li>Analyze customer usage and health metrics</li></ul><h5>Qualifications</h5><ul><li>3+ years in customer success or account management</li><li>Experience with SaaS products</li><li>Strong problem-solving and communication skills</li><li>Bachelor's degree preferred</li></ul>",9,"369 Success Street, Boston, MA",1,8,8,0,3,6000,9500,"monthly",7,1,3,50,0,2,"2026-08-25","published","approved",0,"Customer Success,Account Management","Customer Success,SaaS,Account Management,Analytics","Full Time","Customer Success,SaaS"
"Frontend Developer","Build responsive and interactive user interfaces using modern web technologies.","<h5>Responsibilities</h5><ul><li>Develop responsive web applications using React/Vue.js</li><li>Implement pixel-perfect designs from mockups</li><li>Optimize applications for performance and accessibility</li><li>Collaborate with backend developers and designers</li><li>Write clean, maintainable code</li></ul><h5>Requirements</h5><ul><li>3+ years of frontend development experience</li><li>Proficiency in JavaScript, HTML5, CSS3</li><li>Experience with React, Vue.js, or Angular</li><li>Knowledge of responsive design principles</li></ul>",10,"741 Frontend Ave, Miami, FL",1,9,9,0,3,6500,9500,"monthly",8,1,3,20,0,2,"2026-09-05","published","approved",1,"Software Development,Frontend","JavaScript,React,CSS,HTML","Full Time","Frontend,Development,Remote"
